"","State","Age_group","Deaths","Population","Female","Male"
"467","North Dakota","45-54",290,855266,33.9,NA
"468","North Dakota","45-54",923,889051,NA,103.8
"469","North Dakota","55-64",611,698882,87.4,NA
"470","North Dakota","55-64",1727,721672,NA,239.3
"471","North Dakota","65-74",1249,481367,259.5,NA
"472","North Dakota","65-74",2498,442115,NA,565
"473","North Dakota","75-84",3029,368012,823.1,NA
"474","North Dakota","75-84",4160,272322,NA,1527.6
"475","North Dakota","85+",4789,101266,NA,4729.1
"476","North Dakota","85+",8123,210542,3858.1,NA
"477","Ohio","25-34",880,13886935,6.3,NA
"478","Ohio","25-34",1706,13818162,NA,12.3
"479","Ohio","35-44",3066,15016265,20.4,NA
"480","Ohio","35-44",6713,14738494,NA,45.5
"481","Ohio","45-54",8747,16000596,54.7,NA
"482","Ohio","45-54",21760,15456421,NA,140.8
"483","Ohio","55-64",18162,13181836,137.8,NA
"484","Ohio","55-64",39540,12294408,NA,321.6
"485","Ohio","65-74",34053,8962774,379.9,NA
"486","Ohio","65-74",52997,7578907,NA,699.3
"487","Ohio","75-84",74811,6207988,1205.1,NA
"488","Ohio","75-84",77454,4226530,NA,1832.6
"489","Ohio","85+",69314,1276581,NA,5429.7
"490","Ohio","85+",131672,2849732,4620.5,NA
"491","Oklahoma","25-34",323,4576096,7.1,NA
"492","Oklahoma","25-34",660,4729399,NA,14
"493","Oklahoma","35-44",1326,4564983,29,NA
"494","Oklahoma","35-44",2659,4595607,NA,57.9
"495","Oklahoma","45-54",3937,4735120,83.1,NA
"496","Oklahoma","45-54",8554,4629285,NA,184.8
"497","Oklahoma","55-64",8113,4032584,201.2,NA
"498","Oklahoma","55-64",16016,3770513,NA,424.8
"499","Oklahoma","65-74",13073,2840660,460.2,NA
"500","Oklahoma","65-74",20585,2459244,NA,837
"501","Oklahoma","75-84",25642,1821314,1407.9,NA
"502","Oklahoma","75-84",26920,1312570,NA,2050.9
"503","Oklahoma","85+",22272,374806,NA,5942.3
"504","Oklahoma","85+",42760,791921,5399.5,NA
"505","Oregon","25-34",137,4780434,2.9,NA
"506","Oregon","25-34",325,4955430,NA,6.6
"507","Oregon","35-44",468,4831344,9.7,NA
"508","Oregon","35-44",1175,4926615,NA,23.9
"509","Oregon","45-54",1432,5074137,28.2,NA
"510","Oregon","45-54",4244,4971828,NA,85.4
"511","Oregon","55-64",3306,4407562,75,NA
"512","Oregon","55-64",8493,4181814,NA,203.1
"513","Oregon","65-74",6637,2889614,229.7,NA
"514","Oregon","65-74",12424,2621053,NA,474
"515","Oregon","75-84",15423,1837317,839.4,NA
"516","Oregon","75-84",19160,1399281,NA,1369.3
"517","Oregon","85+",21286,470860,NA,4520.7
"518","Oregon","85+",32953,906561,3634.9,NA
"519","Pennsylvania","25-34",763,14654596,5.2,NA
"520","Pennsylvania","25-34",1526,14755248,NA,10.3
"521","Pennsylvania","35-44",2631,16273987,16.2,NA
"522","Pennsylvania","35-44",6292,15985560,NA,39.4
"523","Pennsylvania","45-54",8120,17677678,45.9,NA
"524","Pennsylvania","45-54",20915,17139322,NA,122
"525","Pennsylvania","55-64",17829,14740709,121,NA
"526","Pennsylvania","55-64",40517,13793115,NA,293.7
"527","Pennsylvania","65-74",36736,10469192,350.9,NA
"528","Pennsylvania","65-74",59543,8827260,NA,674.5
"529","Pennsylvania","75-84",93064,7825090,1189.3,NA
"530","Pennsylvania","75-84",96363,5280889,NA,1824.7
"531","Pennsylvania","85+",93376,1687720,NA,5532.7
"532","Pennsylvania","85+",178395,3801772,4692.4,NA
"533","Rhode Island","25-34",42,1287596,3.3,NA
"534","Rhode Island","25-34",101,1273051,NA,7.9
"535","Rhode Island","35-44",157,1419998,11.1,NA
