State,Gender,Age_group,Deaths,Population,Crude_Rate
Oklahoma,Female,35-44,1326,4564983,29
Oklahoma,Male,35-44,2659,4595607,57.9
Oklahoma,Female,45-54,3937,4735120,83.1
Oklahoma,Male,45-54,8554,4629285,184.8
Oklahoma,Female,55-64,8113,4032584,201.2
Oklahoma,Male,55-64,16016,3770513,424.8
Oklahoma,Female,65-74,13073,2840660,460.2
Oklahoma,Male,65-74,20585,2459244,837
Oklahoma,Female,75-84,25642,1821314,1407.9
Oklahoma,Male,75-84,26920,1312570,2050.9
Oklahoma,Female,85+,42760,791921,5399.5
Oklahoma,Male,85+,22272,374806,5942.3
Oregon,Female,25-34,137,4780434,2.9
Oregon,Male,25-34,325,4955430,6.6
Oregon,Female,35-44,468,4831344,9.7
Oregon,Male,35-44,1175,4926615,23.9
Oregon,Female,45-54,1432,5074137,28.2
Oregon,Male,45-54,4244,4971828,85.4
Oregon,Female,55-64,3306,4407562,75
Oregon,Male,55-64,8493,4181814,203.1
Oregon,Female,65-74,6637,2889614,229.7
Oregon,Male,65-74,12424,2621053,474
Oregon,Female,75-84,15423,1837317,839.4
Oregon,Male,75-84,19160,1399281,1369.3
Oregon,Female,85+,32953,906561,3634.9
Oregon,Male,85+,21286,470860,4520.7
Pennsylvania,Female,25-34,763,14654596,5.2
Pennsylvania,Male,25-34,1526,14755248,10.3
Pennsylvania,Female,35-44,2631,16273987,16.2
Pennsylvania,Male,35-44,6292,15985560,39.4
Pennsylvania,Female,45-54,8120,17677678,45.9
Pennsylvania,Male,45-54,20915,17139322,122
Pennsylvania,Female,55-64,17829,14740709,121
Pennsylvania,Male,55-64,40517,13793115,293.7
Pennsylvania,Female,65-74,36736,10469192,350.9
Pennsylvania,Male,65-74,59543,8827260,674.5
Pennsylvania,Female,75-84,93064,7825090,1189.3
Pennsylvania,Male,75-84,96363,5280889,1824.7
Pennsylvania,Female,85+,178395,3801772,4692.4
Pennsylvania,Male,85+,93376,1687720,5532.7
Rhode Island,Female,25-34,42,1287596,3.3
Rhode Island,Male,25-34,101,1273051,7.9
Rhode Island,Female,35-44,157,1419998,11.1
Rhode Island,Male,35-44,495,1362163,36.3
Rhode Island,Female,45-54,463,1504236,30.8
Rhode Island,Male,45-54,1517,1414496,107.2
Rhode Island,Female,55-64,1148,1196297,96
Rhode Island,Male,55-64,2808,1105131,254.1
Rhode Island,Female,65-74,2427,800115,303.3
Rhode Island,Male,65-74,4143,670923,617.5
Rhode Island,Female,75-84,6727,614268,1095.1
Rhode Island,Male,75-84,6849,403700,1696.6
Rhode Island,Female,85+,15847,337148,4700.3
Rhode Island,Male,85+,7747,141568,5472.3
South Carolina,Female,25-34,530,5647128,9.4
South Carolina,Male,25-34,938,5556863,16.9
South Carolina,Female,35-44,1598,5894104,27.1
South Carolina,Male,35-44,3386,5666049,59.8
South Carolina,Female,45-54,4293,6116695,70.2
South Carolina,Male,45-54,9905,5708373,173.5
South Carolina,Female,55-64,8160,5324086,153.3
South Carolina,Male,55-64,17834,4773581,373.6
South Carolina,Female,65-74,13284,3719156,357.2
South Carolina,Male,65-74,21891,3192929,685.6
South Carolina,Female,75-84,23344,2154523,1083.5
South Carolina,Male,75-84,24996,1501877,1664.3
South Carolina,Female,85+,33000,881350,3744.3
South Carolina,Male,85+,17477,379058,4610.6
South Dakota,Female,25-34,47,925307,5.1
South Dakota,Male,25-34,88,985294,8.9
South Dakota,Female,35-44,128,944471,13.6
South Dakota,Male,35-44,350,978326,35.8
South Dakota,Female,45-54,359,1020647,35.2
South Dakota,Male,45-54,1139,1044003,109.1
South Dakota,Female,55-64,805,851578,94.5
South Dakota,Male,55-64,2236,857288,260.8
South Dakota,Female,65-74,1574,587373,268
South Dakota,Male,65-74,3196,541762,589.9
South Dakota,Female,75-84,3776,431053,876
South Dakota,Male,75-84,4918,324522,1515.5
South Dakota,Female,85+,9533,240888,3957.4
South Dakota,Male,85+,5570,113151,4922.6
Tennessee,Female,25-34,678,7936610,8.5
Tennessee,Male,25-34,1367,7845327,17.4
Tennessee,Female,35-44,2267,8335503,27.2
Tennessee,Male,35-44,4992,8114500,61.5
Tennessee,Female,45-54,6724,8520495,78.9
Tennessee,Male,45-54,14843,8096785,183.3
Tennessee,Female,55-64,12589,7146853,176.1
Tennessee,Male,55-64,25923,6576931,394.2
Tennessee,Female,65-74,20312,4903589,414.2
Tennessee,Male,65-74,32742,4206179,778.4
Tennessee,Female,75-84,38547,3018814,1276.9
Tennessee,Male,75-84,38029,2041026,1863.2
Tennessee,Female,85+,59587,1281928,4648.2
Tennessee,Male,85+,29118,546717,5326
Texas,Female,25-34,1706,33306520,5.1
Texas,Male,25-34,3422,34138863,10
Texas,Female,35-44,5640,32953325,17.1
Texas,Male,35-44,12228,32909191,37.2
Texas,Female,45-54,15802,30620196,51.6
Texas,Male,45-54,37373,30074006,124.3
Texas,Female,55-64,31782,23354187,136.1
Texas,Male,55-64,68204,21910688,311.3
