"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"8871","Barton",20009,"KS",0.69381048,36.41305198,0.839875844,-17.43420538,-99.035758972168,38.6918411254883,858,26443,"Kansas"
"8886","Bartow",13015,"GA",0.570103012,-3.55886222,0.638908548,-4.824559087,-84.7461853027344,34.3889274597168,365,14989,"Georgia"
"8911","Bastrop",48021,"TX",0.461130538,9.461977184,0.537985628,-12.02500352,-97.3168869018555,29.7880764007568,2502,74711,"Texas"
"8921","Bates",29013,"MO",0.542691751,2.773757839,0.663289918,-5.790721981,-94.1140518188477,38.4511985778809,1456,43914,"Missouri"
"8949","Bath",51017,"VA",0.219154065,3.944773176,0.876616261,3.944773176,-83.6804885864258,38.2563934326172,964,27699,"Kentucky"
"9048","Bath",21011,"KY",0.409634606,18.22054727,0.327707685,89.15287564,-83.6804885864258,38.2563934326172,964,27699,"Kentucky"
"9147","Baxter",5005,"AR",0.783219522,5.00447272,0.758743912,-28.33146429,-92.2118301391602,36.1192588806152,84,4113,"Arkansas"
"9187","Bay",12005,"FL",0.75984021,1.796704752,1.06712853,7.009348624,-85.6801071166992,30.1719570159912,292,12301,"Florida"
"9277","Bay",26017,"MI",0.772280771,-6.360522632,0.574501549,-10.15045553,-85.6801071166992,30.1719570159912,292,12301,"Florida"
"9367","Bayfield",55007,"WI",0.4671338,-0.026693,2.268935602,3.002800781,-90.962776184082,46.9137840270996,2991,89044,"Wisconsin"
"9399","Baylor",48023,"TX",0.83518931,-22.20211581,1.113585746,3.730512249,-99.4769287109375,33.8274269104004,2503,74719,"Texas"
"9405","Beadle",46005,"SD",0.550388024,-13.49901681,0.495349221,-38.8314476,-98.7034378051758,44.5474662780762,2332,69431,"South dakota"
"9415","Bear Lake",16007,"ID",0.503609199,-24.28235689,1.007218399,-13.46555073,NA,NA,NA,NA,NA
"9416","Beaufort",37013,"NC",0.69349585,26.65634775,0.735525901,-0.210150257,-80.7927780151367,32.2403335571289,2291,67400,"South carolina"
"9596","Beaufort",45013,"SC",0.59709301,-4.622153857,1.580874827,2.652114703,-80.7927780151367,32.2403335571289,2291,67400,"South carolina"
"9776","Beauregard",22011,"LA",0.497265042,2.793459502,0.303884192,18.6566477,-92.968132019043,30.8766975402832,1084,32390,"Louisiana"
"9808","Beaver",49001,"UT",1.702522829,23.94366197,0.928648816,-32.3943662,-112.517448425293,38.5027618408203,2747,79279,"Utah"
"9857","Beaver",42007,"PA",0.602153585,-1.267655906,0.52540852,6.660431482,-112.517448425293,38.5027618408203,2747,79279,"Utah"
"9906","Beaver",40007,"OK",0.182282173,NA,0.546846518,-39.16879329,-112.517448425293,38.5027618408203,2747,79279,"Utah"
"9955","Beaverhead",30001,"MT",0.74906367,-1.551631889,1.712145532,-7.342712366,-113.818069458008,45.5444145202637,1565,46314,"Montana"
"10055","Becker",27005,"MN",0.481072792,-17.94670536,0.781743288,1.335818876,-96.0506439208984,47.154426574707,1283,40101,"Minnesota"
"10067","Beckham",40009,"OK",0.63315183,-11.48141699,0.759782196,-29.1851336,-99.3738021850586,35.116584777832,2104,61527,"Oklahoma"
"10079","Bedford",47003,"TN",0.514723229,-3.821819976,0.471829627,5.795998027,-86.4249496459961,35.3686828613281,2398,70952,"Tennessee"
"10219","Bedford",51019,"VA",0.261154564,-0.762716414,0.483135944,-5.582813045,-86.4249496459961,35.3686828613281,2398,70952,"Tennessee"
"10359","Bedford",51515,"VA",0,0,0,0,-86.4249496459961,35.3686828613281,2398,70952,"Tennessee"
"10499","Bedford",42009,"PA",0.367752217,-20.23134635,0.735504433,-5.91389569,-86.4249496459961,35.3686828613281,2398,70952,"Tennessee"
"10639","Bee",48025,"TX",0.486869732,3.424114252,0.456440374,11.87704667,-97.9757843017578,28.4645442962646,2504,74726,"Texas"
"10658","Belknap",33001,"NH",0.795953901,8.848504948,1.4095017,4.705094781,-71.6311874389648,43.4645767211914,1732,50847,"New hampshire"
"10683","Bell",48027,"TX",0.665370359,-0.343409646,0.531688643,5.305832904,-97.4200134277344,31.3236026763916,2505,74743,"Texas"
"10742","Bell",21013,"KY",0.863993088,-0.927640579,0.395996832,3.200374397,-97.4200134277344,31.3236026763916,2505,74743,"Texas"
"10801","Belmont",39013,"OH",0.777414664,7.373159886,0.518276443,4.305355318,-81.2282333374023,39.8835906982422,2018,60072,"Ohio"
"10818","Beltrami",27007,"MN",0.503679047,23.75394184,0.700770848,-8.84620141,-94.3947982788086,47.4065284729004,1284,40118,"Minnesota"
"10845","Ben Hill",13017,"GA",0.801649107,-17.09533562,0.629867155,38.42118072,NA,NA,NA,NA,NA
"10846","Benewah",16009,"ID",0.767712218,18.81626088,0.54836587,-27.25535048,-117.032356262207,47.1315078735352,521,20193,"Idaho"
"10877","Bennett",46007,"SD",0.29154519,-0.962099125,0,-100,-102.078163146973,42.9947547912598,2333,69440,"South dakota"
"10884","Bennington",50003,"VT",0.823158184,17.61980645,1.317053094,-19.78714839,-72.8515853881836,43.2010192871094,2777,80735,"Vermont"
"10913","Benson",38005,"ND",0,0,0.731743012,-3.278208693,-98.8123016357422,47.9508361816406,1961,58743,"North dakota"
"10960","Bent",8011,"CO",0.177619893,-42.93960924,0.355239787,-23.91947898,-102.754257202148,37.6318664550781,220,10079,"Colorado"
"10969","Benton",53005,"WA",0.60594361,-9.043611947,0.681016269,9.940439659,-119.834121704102,46.6158447265625,2893,85022,"Washington"
